strings,first,second,fourth,fifth
felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,1958.9342,246.6247,1559.7635,652.9422
ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,1752.8916,1092.4769,1557.2147,1174.6296
faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,1590.928,807.5429,1615.6436,432.129
urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,1581.5395,348.2458,298.4671,797.8078
blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,792.7828,995.8516,1165.0937,94.6615
pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,1541.6261,349.9687,862.4821,1663.5759
diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,1438.878,253.9673,99.4364,1277.3784
consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,1.1872,1644.0642,1468.6599,1496.8471
pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,142.1043,78.7154,1835.3273,1183.5032
a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,668.437,1280.1877,1320.1112,942.7147
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,1617.1837,956.3125,208.0662,176.3211
faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,835.6588,1935.7841,515.9881,1605.085
placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,713.128,648.6902,1153.0706,1958.7151
ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,797.7269,720.9243,138.3026,361.9119
in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,528.2565,768.6606,776.1185,1929.5021
tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,1199.1898,121.8651,500.9533,1713.5353
volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,623.6365,764.0755,991.3428,1446.8975
enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,1491.7309,962.8622,1698.8338,1287.2154
vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,440.5035,1017.3409,705.3656,402.647
lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,1614.5715,1089.6795,537.5131,1026.7527
mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,617.3855,1575.0727,192.355,42.6192
lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,1821.2372,866.5724,1947.2773,1906.5263
orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,1327.3869,80.6876,804.3707,1568.3945
tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,816.949,1224.4637,810.1886,669.7948
congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,29.0677,1314.1929,1256.8005,1234.0643
molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,1177.0362,489.4023,381.207,543.9028
lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,1305.9808,261.7922,1952.2108,905.6547
lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,568.3547,495.3732,99.1272,1222.7878
eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,1708.6442,144.2867,1329.7872,308.8533
eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,1588.0476,948.9001,248.0949,918.5139
volutpat dui maecenas tristique est et tempus semper est quam pharetra,1611.8899,1487.3208,521.8443,752.9057
nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,265.6942,1596.142,1165.2444,1607.8837
at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,407.3373,1793.4871,843.4048,198.2802
vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,1418.0314,1984.3029,905.7038,1028.7681
massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,414.1245,1278.2997,788.8167,940.9279
maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,1091.9361,984.9768,1515.239,592.2872
mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,1266.1952,592.0771,142.1491,891.4694
augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,830.7934,1955.1871,246.1045,778.8473
ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,1193.7515,521.3208,408.8395,1411.5581
ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,999.3044,281.5546,105.9485,1715.5245
lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,1793.1642,784.8694,1444.8792,654.2024
vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,1500.6566,1850.1191,1905.348,1182.5583
amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,1142.4878,700.8704,81.8742,1675.565
feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,1110.9381,689.6717,588.3509,233.3344
elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,490.2541,712.9402,150.7724,1374.5798
nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,870.9628,88.8158,689.9,504.9505
sed vestibulum sit amet cursus id turpis integer aliquet massa id,1787.3233,263.3371,1082.2029,864.7463
at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,1460.468,49.5352,1143.1487,722.5534
tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,1710.1259,1528.244,1588.6946,568.2981
vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,1012.2578,1041.7508,886.9339,157.5834
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,824.0121,627.1283,1575.769,1058.1084
nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,877.6948,990.5136,1004.5106,1858.7221
platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,377.3595,1272.3078,1654.9909,581.5387
ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,1009.4341,277.8896,445.0779,205.5773
vehicula consequat morbi a ipsum integer a nibh in quis justo,368.9758,105.9281,832.1147,1310.3637
a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,263.0956,782.6929,199.2924,582.8034
vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,1645.0304,738.0716,1624.3887,1399.3094
imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,1096.1654,272.7654,170.2657,1489.5388
aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,862.583,1261.86,1129.8612,1290.6828
neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,384.9984,1528.3887,614.8645,663.0788
ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,1986.119,111.0067,1062.7785,705.372
pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,1988.3057,277.2757,275.9659,811.8072
varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,67.3356,1083.4578,1019.6995,955.1908
in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,658.8563,1538.0284,1197.2706,460.1213
nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,1862.9558,1649.156,1898.6182,1815.1214
parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,1741.0726,657.9293,1559.3559,37.5361
viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,1818.4303,1244.6035,1849.7839,1837.9371
at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,1021.4257,203.3019,1120.7734,1405.7921
integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,1908.8623,1336.8154,1651.49,1486.7244
dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,540.7528,319.3594,693.2444,863.1649
bibendum morbi non quam nec dui luctus rutrum nulla tellus,916.5777,1299.4299,957.2629,621.0054
duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,910.5374,116.4669,1478.1736,1500.8125
adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,1290.5365,1346.0271,1290.9205,965.6807
eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,789.1021,493.619,1931.3126,397.2848
id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,1751.4376,1289.1159,399.6081,1659.8204
velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,811.1632,626.0841,993.0533,1691.0252
dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,1301.5951,909.5262,1272.7359,209.6248
hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,992.4456,792.6782,319.0121,1698.6791
ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,664.5341,1273.6157,1404.2957,291.0734
etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,1212.0312,1772.5569,1159.7783,1679.9773
non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,916.2332,1988.3156,1559.6584,389.3131
vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,1170.5081,1408.817,1255.5826,108.5327
mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,467.9056,836.5606,1774.4965,842.5189
neque duis bibendum morbi non quam nec dui luctus rutrum,1393.2623,1733.6594,795.1873,1.2187
dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,602.4373,171.028,1734.3655,1757.3843
habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,489.0842,1080.1821,606.3501,1566.6703
erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,729.7072,631.8951,1850.3052,1275.0004
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,1673.4247,427.1411,1795.0783,1358.1969
luctus et ultrices posuere cubilia curae mauris viverra diam vitae,1144.8369,226.5311,424.3206,1433.4514
quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,1522.554,569.2259,796.7393,918.9052
nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,1740.2756,378.678,1194.4719,295.8543
eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,1865.1712,1900.0487,137.1953,869.5074
enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,1327.241,955.0965,1457.8833,906.6607
erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,813.6587,1813.0221,1444.8746,1504.5989
lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,1484.5514,1542.0063,879.4399,1724.7307
libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,664.7293,1318.6762,1430.561,998.9961
luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,797.0652,114.0105,634.6929,1693.9858
nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,951.318,1855.4336,417.3329,1280.9201
semper sapien a libero nam dui proin leo odio porttitor id consequat,1224.0757,1334.734,931.3058,1580.6766
lectus suspendisse potenti in eleifend quam a odio in hac,1533.7704,286.7468,369.7788,607.1248
montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,1296.6569,764.6866,450.0595,545.6672
tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,448.5041,1918.9166,1428.4309,751.4338
lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,830.089,1961.5078,1281.3279,837.0126
blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,1750.5422,758.2397,587.3093,1657.3221
in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,644.2679,673.8187,1958.7449,1993.2365
quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,1337.1926,1830.1808,1282.9742,1243.7107
sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,1816.5434,847.83,1125.3315,1470.0904
aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,1629.4997,1548.9687,426.8914,819.1614
auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,1832.4533,1249.699,161.4935,332.5681
nunc vestibulum ante ipsum primis in faucibus orci luctus et,105.3421,1861.7218,1671.5926,981.8579
consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,1792.2123,143.8103,73.8151,609.7512
a libero nam dui proin leo odio porttitor id consequat in,1671.3885,335.3977,864.3904,1161.6643
convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,1268.7774,1353.3134,1339.6413,674.3807
nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,1095.6502,688.4028,1320.7711,942.5164
curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,335.8066,1115.3962,1859.4352,394.4744
felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,1994.0811,1572.0393,1190.1963,15.5281
eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,845.9967,1354.6923,837.0163,607.0931
arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,450.671,1039.2267,1375.6348,697.5755
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,91.8347,313.1953,746.0099,276.8633
non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,204.656,1736.7058,1518.537,986.2152
convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,1088.4216,1909.7223,300.7729,918.8465
consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,812.0178,1169.1601,829.8616,1879.5778
morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,1214.0036,1769.9456,1429.8744,75.3178
purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,1856.5847,1053.2559,65.7789,298.6257
cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,404.6901,1114.0045,185.9428,1321.7765
molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,1208.3591,42.5699,906.5274,718.1269
eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,256.7899,427.3363,1295.7489,537.9708
ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,807.3877,992.0831,702.6254,465.7269
integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,786.1972,861.984,955.5609,707.9612
ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,1394.9813,679.2353,655.1297,117.1532
odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,20.5097,301.54,249.205,1427.1983
lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,1326.5595,19.0622,1384.9278,576.4242
eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,241.0689,1518.4608,650.5453,77.4766
turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,627.2263,1009.5833,267.761,561.5271
aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,988.3582,684.5029,294.1334,1288.9049
morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,778.7938,148.5813,64.7469,861.7845
vitae nisi nam ultrices libero non mattis pulvinar nulla pede,1472.8487,378.7118,1471.9222,338.7241
vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,800.3983,516.6386,1723.0101,1787.2556
hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,1101.1533,726.7293,1163.3835,1817.4815
in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,580.1306,1205.4739,535.6729,1408.7373
vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,866.2331,153.4058,495.6128,42.5786
suspendisse potenti in eleifend quam a odio in hac habitasse platea,1785.5172,733.464,848.9111,1704.6545
nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,784.3564,176.3062,120.1265,438.7741
morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,684.8332,276.7278,34.16,1103.9561
sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,1630.2224,15.4599,1623.9312,453.7558
lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,95.2569,1631.0386,1855.0142,1378.8957
justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,1349.8872,627.6503,1947.416,294.3459
ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,1642.6745,1818.0636,1105.4014,445.6716
pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,1576.8897,1040.0946,1958.5493,611.3328
pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,1983.3173,501.1338,1757.7936,20.4987
metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,113.0204,1833.3913,1955.4538,1321.8301
aliquet massa id lobortis convallis tortor risus dapibus augue vel,1175.5452,1605.1345,408.2592,255.0231
id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,761.4399,1536.8505,870.1417,1094.4396
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,84.4645,614.4361,1891.2493,594.6644
donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,1677.0854,884.2648,1102.603,1874.8466
diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,1733.2223,1277.3952,295.8469,771.7087
ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,844.3297,632.2493,446.0895,1665.6958
justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,146.4249,220.8863,1731.885,1772.4281
semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,534.5919,383.2411,1864.1987,711.6006
gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,1204.1414,126.6972,178.55,97.477
odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,77.6407,159.8511,378.812,1248.2731
interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1396.576,1285.4714,1066.5303,631.7854
integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,1260.6057,393.5867,1592.4371,1251.8483
habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,1209.0781,1826.7598,180.2641,1820.5155
nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,1137.5221,872.5418,913.4465,573.3209
ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,1220.346,1221.3687,1332.5569,1364.1276
proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,940.6032,1060.6662,195.9201,464.5764
a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,1319.5873,702.6385,1737.2058,443.9446
libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,1427.2087,1789.1798,374.2455,622.3295
luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,1110.53,1450.6785,1366.1887,706.8364
nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,50.5279,524.6633,262.1911,906.619
lectus pellentesque eget nunc donec quis orci eget orci vehicula,749.3443,1032.6021,1501.4952,277.9068
massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,1689.4197,221.1395,1199.0242,122.8674
condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,366.9778,1630.1635,1375.2304,1686.2661
est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,1636.4085,1545.6826,700.7355,278.3776
nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,344.5994,1687.5147,1922.3373,1983.1269
metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,1523.6584,1849.1949,31.6827,592.1471
penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,1173.1938,929.8247,406.9483,319.8945
eu orci mauris lacinia sapien quis libero nullam sit amet turpis,381.841,653.3798,1995.4691,1815.1571
vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,1498.7305,1104.8038,602.7301,991.704
non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,1017.8062,28.377,129.4063,140.354
justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,1323.6323,1136.8243,186.7244,212.7408
ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,832.9634,1515.9176,13.0504,1803.8211
sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,17.8749,114.5757,675.079,1.5091
platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,1493.1339,200.7418,237.3176,218.7461
duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,1929.1136,1219.1604,1043.0566,1929.2919
primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,1013.2959,1419.5401,1422.3347,400.2826
vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,767.3003,402.1513,1062.7098,1486.7537
fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,707.1167,1336.6781,481.929,957.8981
augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,915.2425,665.0551,1409.0859,279.4709
non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,1452.0669,254.4075,660.576,1159.5221
donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,1556.6084,909.394,624.6553,508.8673
porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,1815.2673,513.5143,843.7264,326.0666
accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,1242.1403,389.5219,1557.3862,1448.196
nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,1742.4885,859.5464,1985.933,1173.0678
